	htid	intl_frac	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
323	njp.32101068574498	0.7553191489361696	0.809044364445011	Macaulay, Rose	Abbots Verney	1906	Fiction-Novel	Female	White	Britain	130457
484	uc1.b3796887	0.7520435967302452	1.8331868939679874	Bennett, Arnold	A Great Man: A Frolic	1904	Fiction-Novel	Male	White	Britain	74929
167	mdp.39015008568647	0.751467710371819	1.1467605774104137	Wells, H. G.	The Holy Terror	1939	Fiction-Novel	Male	White	Britain	166778
155	mdp.39015005786911	0.7511737089201872	1.3697216199926965	Munro, Hector Hugh	The Unbearable Bassington	1912	Fiction-Novel	Male	White	South Asia	58202
306	mdp.49015000980798	0.7500000000000002	1.5000515291073322	Greene, Graham	England Made Me	1935	Fiction-Novel	Male	White	Britain	93815
386	uc1.$b104460	0.749478079331941	1.647636143876714	Ford, Ford Madox	Henry for Hugh: A Novel	1934	Fiction-Novel	Male	White	Britain	108809
389	uc1.$b106204	0.7486910994764397	0.7878167464913772	Maugham, William Somerset	The Mixture as Before	1940	Fiction-Novel	Male	White	Britain	90740
562	umn.31951002044019w	0.7476190476190482	1.2855156646405794	Forster, E. M.	Where Angels Fear to Tread	1905	Fiction-Novel	Male	White	Britain	61141
407	uc1.$b285105	0.7460317460317465	1.122156524713237	Munro, Hector Hugh	Reginald	1904	Fiction-Novel	Male	White	South Asia	42025
224	mdp.39015030738119	0.7460317460317458	0.9672771044647346	Firbank, [Arthur Annesley] Ronald	The Artificial Princess	1934	Fiction-Novel	Male	White	Britain	24377
132	mdp.39015003676882	0.7450980392156863	0.5417345274708272	Forster, E. M.	The Eternal Moment and Other Stories	1928	Fiction-Stories	Male	White	Britain	35235
434	uc1.32106001997508	0.7441860465116271	0.4945309515654808	Lewis, Wyndham	The Revenge for Love	1937	Fiction-Novel	Male	White	Other	162718
85	inu.39000001020226	0.7433862433862434	2.7732212849793423	Bowen, Elizabeth	The House in Paris	1935	Fiction-Novel	Female	White	Ireland	102030
566	umn.31951002184702q	0.7422680412371142	1.1870474112551235	Rhys, Jean	Good Morning, Midnight	1939	Fiction-Novel	Female	White	Caribbean	61168
325	nyp.33433074892518	0.7415384615384619	1.71837285011859	Mason, A. E. W.	The Four Feathers	1902	Fiction-Novel	Male	White	Britain	141575
317	mdp.49015001344549	0.7410358565737059	1.227547479741524	Huxley, Aldous	Little Mexican, and Other Stories	1924	Fiction-Stories	Male	White	Britain	76529
225	mdp.39015030738325	0.737864077669903	0.9007291519866758	Firbank, [Arthur Annesley] Ronald	The Flower Beneath the Foot	1923	Fiction-Novel	Male	White	Britain	42799
19	coo.31924013636521	0.7370242214532878	0.7792954158708848	Lawrence, D. H.	Aaron's Rod	1922	Fiction-Novel	Male	White	Britain	138799
60	inu.30000048970531	0.7330960854092525	1.7754013610755672	Sassoon, Siegfried	Sherston's Progress	1936	Fiction-Novel	Male	White	Britain	59238
394	uc1.$b244157	0.7317073170731705	0.41620493430476063	Powys, Theodore Francis	Innocent Birds	1926	Fiction-Novel	Male	White	Britain	73739
