	htid	spec_nongb_subcountry	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
27	coo1.ark:/13960/t3417ht19	0.6370967741935482	0.4791723675806415	Bennett, Arnold	Mr. Prohack	1922	Fiction-Novel	Male	White	Britain	154075
433	uc1.32106002020342	0.6368421052631585	1.442562233071354	Waugh, Evelyn	Black Mischief	1932	Fiction-Novel	Male	White	Britain	78419
19	coo.31924013636521	0.6338028169014089	0.9136829550896378	Lawrence, D. H.	Aaron's Rod	1922	Fiction-Novel	Male	White	Britain	138799
318	miun.afb2696.0001.001	0.6333333333333334	0.554574318354492	Wells, H. G.	The Brothers: A Story	1938	Fiction-Novel	Male	White	Britain	32208
402	uc1.$b244757	0.6329113924050642	0.6850152636992476	Macaulay, Rose	What Not: A Prophetic Comedy	1918	Fiction-Novel	Female	White	Britain	68664
453	uc1.32106014553967	0.6319018404907965	0.7554546882723385	Greene, Graham	Brighton Rock	1938	Fiction-Novel	Male	White	Britain	128464
367	pst.000031167109	0.6315789473684212	0.16806211132685994	MacDonald, George	The Princess and Curdie	1883	Fiction-Novel	Male	White	Britain	67311
351	pst.000010073353	0.6308139534883732	1.060368928087285	Conrad, Joseph	Romance: A Novel	1903	Fiction-Novel	Male	White	Europe	193154
249	mdp.39015047547255	0.6296296296296293	0.18907970690432066	Woolf, Virginia	To the Lighthouse	1927	Fiction-Novel	Female	White	Britain	85020
267	mdp.39015058086136	0.6293103448275862	0.6578279324650388	Wells, H. G.	When the Sleeper Wakes: A Story of the Years to Come	1899	Fiction-Novel	Male	White	Britain	104990
284	mdp.39015076134736	0.6290909090909114	1.7857573701136484	Maugham, William Somerset	The Moon and Sixpence: A Novel	1919	Fiction-Novel	Male	White	Britain	91688
115	mdp.39015002606757	0.6287425149700604	0.9085370525124179	Ford, Ford Madox	No More Parades: A Novel	1925	Fiction-Novel	Male	White	Britain	109440
129	mdp.39015003675371	0.6282051282051281	1.139588169377207	Ford, Ford Madox	Last Post	1928	Fiction-Novel	Male	White	Britain	81504
