	htid	spec_world_subcity	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
489	uc1.b3811090	0.4067278287461775	1.147350405716569	Bennett, Arnold	Whom God Hath Joined	1906	Fiction-Novel	Male	White	Britain	106670
486	uc1.b3796889	0.4066666666666659	0.8595061660075065	Bennett, Arnold	Helen with the High Hand: An Idyllic Diversion	1910	Fiction-Novel	Male	White	Britain	65318
536	uc2.ark:/13960/t10p12n34	0.40540540540540576	0.6992470625373796	Beerbohm, Max	Zuleika Dobson; or an Oxford Love Story	1911	Fiction-Novel	Male	White	Britain	99022
14	coo.31924013586569	0.3977272727272736	0.843252674853101	Bennett, Arnold	The City of Pleasure: A Fantasia on Modern Themes	1907	Fiction-Novel	Male	White	Britain	78117
376	pst.000044205362	0.3972125435540077	1.1941577149751574	Maugham, William Somerset	Cakes and Ale: Or the Skeleton in the Cupboard	1930	Fiction-Novel	Male	White	Britain	89952
218	mdp.39015030719622	0.3953488372093025	0.6939457986295304	Wells, H. G.	The Plattner Story, and Others	1897	Fiction-Stories	Male	White	Britain	92767
471	uc1.b3435601	0.3941068139963192	0.9079429673361716	Priestley, J. B.	Angel Pavement	1930	Fiction-Novel	Male	White	Britain	223837
9	coo.31924013216837	0.39344262295081966	0.7125261945421578	Richardson, Dorothy	Honeycomb	1917	Fiction-Novel	Female	White	Britain	64084
15	coo.31924013586585	0.3930348258706465	0.6803765924456265	Bennett, Arnold	Clayhanger	1910	Fiction-Novel	Male	White	Britain	110570
118	mdp.39015002709866	0.39285714285714185	0.37128684988327143	Powys, John Cowper	Ducdame	1925	Fiction-Novel	Male	White	Britain	169352
230	mdp.39015031224093	0.39080459770115034	0.8912890846959995	Bennett, Arnold	Dream of Destiny: An Unfinished Novel and Venus Rising from the Sea	1932	Fiction-Novel	Male	White	Britain	73067
255	mdp.39015050026163	0.3906976744186052	0.7613329616049196	Orwell, George	Keep the Aspidistra Flying	1936	Fiction-Novel	Male	White	South Asia	105695
542	uc2.ark:/13960/t3xs5n992	0.3888888888888891	0.8391289593514834	Ashford, Daisy	The Young Visiters	1919	Fiction-Novel	Female	White	Britain	16057
45	hvd.hn3mzf	0.3886255924170616	1.1682419573780398	Richardson, Dorothy	Interim	1919	Fiction-Novel	Female	White	Britain	67599
