htid,corpus,author,title,pub_date,genre,gender,white,origin_area,origin_nation,wordcount
coo.31924014495349,Prominent,"Huxley, Aldous","Two or Three Graces, and Other Stories",1926,Fiction-Stories,Male,White,Britain,England,73697
uc1.b3834403,Prominent,"Galsworthy, John",The Country House,1907,Fiction-Novel,Male,White,Britain,England,97458
inu.39000001588149,Prominent,"Delafield, E. M.",Diary of a Provincial Lady,1930,Fiction-Novel,Female,White,Britain,England,57492
coo1.ark:/13960/t9v12m24d,Prominent,"Chesterton, G. K.","The Man Who Knew Too Much, and Other Stories",1922,Fiction-Stories,Male,White,Britain,England,135334
uc1.b4080428,Prominent,"Wells, H. G.",Brynhild,1937,Fiction-Novel,Male,White,Britain,England,84056
mdp.39015002742446,Prominent,"Rolfe, Frederick",Don Tarquinio: A Kataleptic Phantasmatic Romance,1905,Fiction-Novel,Male,White,Britain,England,47111
coo.31924013586569,Prominent,"Bennett, Arnold",The City of Pleasure: A Fantasia on Modern Themes,1907,Fiction-Novel,Male,White,Britain,England,78117
uc2.ark:/13960/t10p12n34,Prominent,"Beerbohm, Max",Zuleika Dobson; or an Oxford Love Story,1911,Fiction-Novel,Male,White,Britain,England,99022
uc1.$b244157,Prominent,"Powys, Theodore Francis",Innocent Birds,1926,Fiction-Novel,Male,White,Britain,England,73739
uc1.b3209748,Prominent,"Lawrence, D. H.",The Ladybird; The Fox; The Captain's Doll,1923,Fiction-Stories,Male,White,Britain,England,107380
uc1.b4717712,Prominent,"Wells, H. G.",Tales of Space and Time,1899,Fiction-Stories,Male,White,Britain,England,84716
mdp.39015002148933,Prominent,"Smith, Stevie",Novel on Yellow Paper,1936,Fiction-Novel,Female,White,Britain,England,69761
uc1.32106006956004,Prominent,"Mansfield, Katherine",The Aloe,1930,Fiction-Stories,Female,White,Australasia,New Zealand,60945
coo.31924013216811,Prominent,"Richardson, Dorothy",Pointed Roofs,1915,Fiction-Novel,Female,White,Britain,England,70072
pst.000032609554,Prominent,"Kipling, Rudyard",The Light that Failed,1890,Fiction-Novel,Male,White,South Asia,India - England,89330
uc1.b4093278,Prominent,"Galsworthy, John",Maid in Waiting,1931,Fiction-Novel,Male,White,Britain,England,127846
uc1.31822038204798,Prominent,"Macaulay, Rose",The Making of a Bigot,1914,Fiction-Novel,Female,White,Britain,England,89765
pst.000045759383,Prominent,"Hardy, Thomas",A Group of Noble Dames,1891,Fiction-Stories,Male,White,Britain,England,81229
mdp.39015002710260,Prominent,"Powell, Anthony",Venusberg,1932,Fiction-Novel,Male,White,Britain,England,62270
mdp.39015030710704,Prominent,"Powys, John Cowper","Morwyn, or the Vengance of God",1937,Fiction-Novel,Male,White,Britain,England,115454
mdp.39015000606981,Prominent,"Orwell, George",Coming up for Air,1939,Fiction-Novel,Male,White,South Asia,India - England,96093
inu.32000002529826,Prominent,"West, Rebecca",The Harsh Voice: Four Short Novels,1935,Fiction-Novel,Female,White,Ireland,Ireland - England,104124
uc1.32106014299330,Prominent,"Joyce, James",Portrait of An Artist as a Young Man,1916,Fiction-Novel,Male,White,Ireland,Ireland,103201
inu.32000009144157,Prominent,"Huxley, Aldous",Those Barren Leaves,1925,Fiction-Novel,Male,White,Britain,England,131836
inu.39000004044819,Prominent,"Lehmann, Rosamond",A Note in Music,1930,Fiction-Novel,Female,White,Britain,England,92635
inu.32000002820936,Prominent,"Conrad, Joseph",Almayer's Folly,1895,Fiction-Novel,Male,White,Europe,Poland - England,73320
mdp.39015005691608,Prominent,"James, Henry",The Sense of the Past,1917,Fiction-Novel,Male,White,Us,Us,103927
mdp.39015002174475,Prominent,"Yeats, William Butler",The Celtic Twilight,1893,Fiction-Stories,Male,White,Ireland,Ireland,45926
uc1.$b285105,Prominent,"Munro, Hector Hugh",Reginald,1904,Fiction-Novel,Male,White,South Asia,Burma - England,42025
coo.31924013586585,Prominent,"Bennett, Arnold",Clayhanger,1910,Fiction-Novel,Male,White,Britain,England,110570
hvd.32044011328713,Prominent,"Lawrence, D. H.","England, My England",1922,Fiction-Stories,Male,White,Britain,England,80438
aeu.ark:/13960/t9k373624,Prominent,"Bennett, Arnold",The Glimpse: An Adventure of the Soul,1909,Fiction-Novel,Male,White,Britain,England,93856
coo.31924013615509,Prominent,"Galsworthy, John",The Dark Flower,1913,Fiction-Novel,Male,White,Britain,England,94921
mdp.49015001011247,Prominent,"Williams, Charles",The Place of the Lion,1931,Fiction-Novel,Male,White,Britain,England,80370
mdp.39015054072536,Prominent,"Sayers, Dorothy",Murder Must Advertise,1933,Fiction-Novel,Female,White,Britain,England,138903
mdp.39015066055271,Prominent,"Household, Geoffrey",Rogue Male,1939,Fiction-Novel,Male,White,Britain,England,69204
mdp.39015065979588,Prominent,"Lehmann, Rosamond",Invitation to the Waltz,1932,Fiction-Novel,Female,White,Britain,England,67256
uc1.b3796874,Prominent,"Bennett, Arnold",Accident,1929,Fiction-Novel,Male,White,Britain,England,86389
coo.31924013216837,Prominent,"Richardson, Dorothy",Honeycomb,1917,Fiction-Novel,Female,White,Britain,England,64084
mdp.39015039610442,Prominent,"Munro, Hector Hugh",The Chronicles of Clovis,1911,Fiction-Novel,Male,White,South Asia,Burma - England,61651
uc1.b4083252,Prominent,"Wells, H. G.",The Camford Visitation,1937,Fiction-Novel,Male,White,Britain,England,15523
mdp.39015037058669,Prominent,"Pater, Walter",Imaginary Portraits,1887,Fiction-Stories,Male,White,Britain,England,37882
mdp.39015030738325,Prominent,"Firbank, [Arthur Annesley] Ronald",The Flower Beneath the Foot,1923,Fiction-Novel,Male,White,Britain,England,42799
uc1.$b244757,Prominent,"Macaulay, Rose",What Not: A Prophetic Comedy,1918,Fiction-Novel,Female,White,Britain,England,68664
mdp.39015043188716,Prominent,"Hardy, Thomas",Tess of the D'Urbervilles,1891,Fiction-Novel,Male,White,Britain,England,180235
umn.31951p001743923,Prominent,"Beckett, Samuel",Murphy,1938,Fiction-Novel,Male,White,Ireland,Ireland,69759
mdp.39015000631930,Prominent,"Lawrence, D. H.","The Woman Who Rode Away, and Other Stories",1928,Fiction-Stories,Male,White,Britain,England,100807
mdp.39015034647183,Prominent,"Huxley, Aldous",Brave New World,1932,Fiction-Novel,Male,White,Britain,England,84500
uc1.b3796889,Prominent,"Bennett, Arnold",Helen with the High Hand: An Idyllic Diversion,1910,Fiction-Novel,Male,White,Britain,England,65318
pst.000056831450,Prominent,"Bennett, Arnold",Anna of the Five Towns: A Novel,1902,Fiction-Novel,Male,White,Britain,England,93856
uc1.$b322675,Prominent,"Bennett, Arnold",Lilian ,1922,Fiction-Novel,Male,White,Britain,England,57172
uc2.ark:/13960/t71v5hr9z,Prominent,"Galsworthy, John",Saint's Progress,1919,Fiction-Novel,Male,White,Britain,England,119939
pst.000022830753,Prominent,"Wells, H. G.",Star-Begotten: A Biological Fantasia,1937,Fiction-Novel,Male,White,Britain,England,44735
mdp.39015028687088,Prominent,"Wells, H. G.","The Stolen Bacillus, and Other Incidents",1895,Fiction-Stories,Male,White,Britain,England,51911
nyp.33433074892724,Prominent,"Maugham, William Somerset",Orientations,1899,Fiction-Stories,Male,White,Britain,England,60173
mdp.39015050807257,Prominent,"Macaulay, Rose",Non-Combatants and Others,1916,Fiction-Novel,Female,White,Britain,England,77037
osu.32435007395684,Prominent,"Lawrence, D. H.",The Trespasser,1912,Fiction-Novel,Male,White,Britain,England,87517
pst.000020900496,Prominent,"Wells, H. G.",In the Days of the Comet,1906,Fiction-Novel,Male,White,Britain,England,99808
uc2.ark:/13960/t1cj8gv9c,Prominent,"Conrad, Joseph",Within the Tides: Tales,1915,Fiction-Stories,Male,White,Europe,Poland - England,73711
uc1.$b244156,Prominent,"Powys, Theodore Francis",Black Bryony,1923,Fiction-Novel,Male,White,Britain,England,44951
mdp.39015041313043,Prominent,"Huxley, Aldous",Antic Hay,1923,Fiction-Novel,Male,White,Britain,England,112874
mdp.39015030742442,Prominent,"Douglas, Norman [George]",They Went,1920,Fiction-Novel,Male,White,Europe,Austria - Britain,68062
uc2.ark:/13960/t4hm5k49t,Prominent,"Lawrence, D. H.",The White Peacock,1911,Fiction-Novel,Male,White,Britain,England,160538
mdp.39015018629371,Prominent,"West, Rebecca",Harriet Hume,1929,Fiction-Novel,Female,White,Ireland,Ireland - England,99978
wu.89099304214,Prominent,"Richardson, Dorothy",Backwater,1916,Fiction-Novel,Female,White,Britain,England,63344
mdp.39015003681395,Prominent,"Galsworthy, John",Jocelyn,1898,Fiction-Novel,Male,White,Britain,England,71084
uc1.32106019227708,Prominent,"Jerome, Jerome K.",Three Men in a Boat,1889,Fiction-Novel,Male,White,Britain,England,80146
uc1.$b106072,Prominent,"Lewis, Wyndham",The Wild Body: A Soldier of Humour and Other Stories,1927,Fiction-Stories,Male,White,Other,Canada - Britain,78437
mdp.39015008995501,Prominent,"Conrad, Joseph",The Sisters,1928,Fiction-Novel,Male,White,Europe,Poland - England,17158
uc1.$b106204,Prominent,"Maugham, William Somerset",The Mixture as Before,1940,Fiction-Novel,Male,White,Britain,England,90740
