	htid	occurs_100k	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
532	uc2.ark:/13960/fk8pc2tq9r	211.265745900123	1	James, Henry	The Wings of the Dove	1902	Fiction-Novel	Male	White	Us	227202
450	uc1.32106013771271	211.17443517199257	1	James, Henry	Washington Square	1881	Fiction-Novel	Male	White	Us	78608
389	uc1.$b106204	210.49151421644245	1	Maugham, William Somerset	The Mixture as Before	1940	Fiction-Novel	Male	White	Britain	90740
204	mdp.39015018991433	210.1883419946385	1	Powys, John Cowper	Maiden Castle	1936	Fiction-Novel	Male	White	Britain	302110
423	uc1.31822038204798	209.43574889990555	1	Macaulay, Rose	The Making of a Bigot	1914	Fiction-Novel	Female	White	Britain	89765
473	uc1.b3741636	209.30067159098977	1	Stevenson, Robert Louis	The Black Arrow	1888	Fiction-Novel	Male	White	Britain	98423
568	umn.31951p001743923	209.29199099757713	1	Beckett, Samuel	Murphy	1938	Fiction-Novel	Male	White	Ireland	69759
19	coo.31924013636521	208.21475659046575	1	Lawrence, D. H.	Aaron's Rod	1922	Fiction-Novel	Male	White	Britain	138799
135	mdp.39015003681395	208.20437791908176	1	Galsworthy, John	Jocelyn	1898	Fiction-Novel	Male	White	Britain	71084
318	mdp.49015001344812	207.83847980997558	1	Greene, Graham	The Confidential Agent	1939	Fiction-Novel	Male	White	Britain	87568
335	nyp.33433082294657	207.19343418088252	1	James, Henry	The Princess Casamassima	1886	Fiction-Novel	Male	White	Us	248560
293	mdp.39015080830469	206.92437045224625	1	Hardy, Thomas	The Woodlanders	1887	Fiction-Novel	Male	White	Britain	190891
507	uc1.b4083252	206.1457192552986	1	Wells, H. G.	The Camford Visitation	1937	Fiction-Novel	Male	White	Britain	15523
184	mdp.39015011506139	204.90803532224277	1	Lewis, Wyndham	Tarr	1918	Fiction-Novel	Male	White	Other	122982
410	uc1.$b386778	204.7388749322151	1	Wells, H. G.	The Food of the Gods, and how it Came to Earth	1904	Fiction-Novel	Male	White	Britain	90359
54	inu.30000007685427	203.79004361558106	1	Waugh, Alec	The Loom of Youth	1917	Fiction-Novel	Male	White	Britain	132980
255	mdp.39015050026163	203.4154879606411	1	Orwell, George	Keep the Aspidistra Flying	1936	Fiction-Novel	Male	White	South Asia	105695
388	uc1.$b106072	202.71045552481667	1	Lewis, Wyndham	The Wild Body: A Soldier of Humour and Other Stories	1927	Fiction-Stories	Male	White	Other	78437
238	mdp.39015034647183	202.366863905325	1	Huxley, Aldous	Brave New World	1932	Fiction-Novel	Male	White	Britain	84500
506	uc1.b4083133	201.3519344167985	1	Wells, H. G.	All Aboard for Ararat	1940	Fiction-Novel	Male	White	Britain	27812
492	uc1.b3834532	201.28964191266812	1	Ford, Ford Madox	Some Do Not..., A Novel	1924	Fiction-Novel	Male	White	Britain	144071
2	aeu.ark:/13960/t3pv7sg8r	200.7794968702018	1	Bennett, Arnold	The Gates of Wrath: A Melodrama	1903	Fiction-Novel	Male	White	Britain	50802
268	mdp.39015058011787	200.48480871926608	1	Woolf, Virginia	The Years	1937	Fiction-Novel	Female	White	Britain	164601
569	uva.x000427943	200.47361892470903	1	Douglas, Norman [George]	South Wind	1917	Fiction-Novel	Male	White	Europe	159622
200	mdp.39015016867767	198.92070744869395	1	Bowen, Elizabeth	The Last September	1929	Fiction-Novel	Female	White	Ireland	101548
575	wu.89099304214	198.91386713816618	1	Richardson, Dorothy	Backwater	1916	Fiction-Novel	Female	White	Britain	63344
24	coo1.ark:/13960/t05x2w944	198.77279405410098	1	Woolf, Virginia	Monday or Tuesday	1921	Fiction-Stories	Female	White	Britain	23142
446	uc1.32106011205272	198.2900151382689	1	Gissing, George	New Grub Street	1891	Fiction-Novel	Male	White	Britain	234505
95	inu.39000003869802	196.31865617665807	1	Galsworthy, John	The Man of Property	1906	Fiction-Novel	Male	White	Britain	135494
442	uc1.32106006269275	195.92352662347955	1	Beckett, Samuel	More Pricks than Kicks	1933	Fiction-Stories	Male	White	Ireland	63290
217	mdp.39015030719606	195.18542615484733	1	Wells, H. G.	Love and Mr Lewisham	1900	Fiction-Novel	Male	White	Britain	79924
81	inu.32000009144157	194.9391668436534	1	Huxley, Aldous	Those Barren Leaves	1925	Fiction-Novel	Male	White	Britain	131836
74	inu.32000004078566	194.84501414357246	1	Conrad, Joseph	A Set of Six	1908	Fiction-Stories	Male	White	Europe	101106
541	uc2.ark:/13960/t28913645	194.6548821548826	1	Macaulay, Rose	The Lee Shore	1913	Fiction-Novel	Female	White	Britain	114048
377	pst.000045759383	194.51181228378996	1	Hardy, Thomas	A Group of Noble Dames	1891	Fiction-Stories	Male	White	Britain	81229
482	uc1.b3796874	193.31164847376414	1	Bennett, Arnold	Accident	1929	Fiction-Novel	Male	White	Britain	86389
519	uc1.b4097693	192.45526633129123	1	Ford, Ford Madox	The Shifting of the Fire	1892	Fiction-Novel	Male	White	Britain	82097
517	uc1.b4095606	191.02419251511327	1	Ford, Ford Madox	A Man Could Stand Up--A Novel	1926	Fiction-Novel	Male	White	Britain	85853
23	coo.31924074619218	190.9811758638467	1	Stevenson, Robert Louis	Catriona	1893	Fiction-Novel	Male	White	Britain	124096
531	uc1.c052623615	190.8541480482891	1	Hope, Anthony	The Prisoner of Zenda	1894	Fiction-Novel	Male	White	Britain	66019
