	htid	spec_gb_subcity	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
203	mdp.39015019638595	0.04255319148936173	1.8561962679259483	Myers, L. H.	"The ""Clio"""	1925	Fiction-Novel	Male	White	Britain	75446
466	uc1.b3346919	0.04225352112676053	1.3913108883674454	Ford, Ford Madox	"The ""Half Moon"": A Romance of the Old World and the New"	1909	Fiction-Novel	Male	White	Britain	101369
446	uc1.32106012128440	0.04166666666666673	4.005775629309766	Hardy, Thomas	A Laodicean	1881	Fiction-Novel	Male	White	Britain	196372
239	mdp.39015039039691	0.041666666666666664	0.2643038487545943	Christie, Agatha	The Murder of Roger Ackroyd	1926	Fiction-Novel	Female	White	Britain	90188
353	pst.000019367736	0.03875968992248067	0.7910553194757008	Conrad, Joseph	Typhoon and Other Stories	1903	Fiction-Stories	Male	White	Europe	161966
184	mdp.39015011819813	0.03846153846153847	0.6588792676609588	Lawrence, D. H.	The Escaped Cock	1929	Fiction-Novel	Male	White	Britain	78386
40	hvd.32044020572954	0.03333333333333333	1.553562570267433	Allen, Grant	The British Barbarians	1895	Fiction-Novel	Male	White	Other	57538
445	uc1.32106011381107	0.028571428571428564	0.6211110537135636	Stevenson, Robert Louis	The Master of Ballantrae	1889	Fiction-Novel	Male	White	Britain	111936
471	uc1.b3759956	0.02597402597402598	0.7682594539140655	Wells, H. G.	Apropos of Dolores	1938	Fiction-Novel	Male	White	Britain	99546
470	uc1.b3741636	0.024390243902439022	0.8274814287739769	Stevenson, Robert Louis	The Black Arrow	1888	Fiction-Novel	Male	White	Britain	98423
174	mdp.39015009283667	0.022222222222222227	0.4447739191149568	Compton-Burnett, Ivy	Brothers and Sisters	1929	Fiction-Novel	Female	White	Britain	100488
558	umn.31951002044019w	0.018867924528301893	0.8609626942289169	Forster, E. M.	Where Angels Fear to Tread	1905	Fiction-Novel	Male	White	Britain	61141
114	mdp.39015002311556	0.018867924528301883	0.5374018160531095	Burnett, Frances Hodgston	The Secret Garden	1911	Fiction-Novel	Female	White	Britain	97953
281	mdp.39015066650105	0.015873015873015865	0.4985794393481591	Webb, Mary	Precious Bane	1924	Fiction-Novel	Female	White	Britain	125501
252	mdp.39015049493359	0.0	0.03867413558313596	James, Henry	The Ivory Tower	1917	Fiction-Novel	Male	White	Us	102726
569	wu.89065155434	0.0	0.4780490550117242	Forster, E. M.	The Celestial Omnibus and Other Stories	1911	Fiction-Stories	Male	White	Britain	39475
394	uc1.$b244162	0.0	0.11748274576871195	Powys, Theodore Francis	The Two Thieves	1933	Fiction-Stories	Male	White	Britain	92995
413	uc1.$b787246	0.0	0.19586717757994535	Myers, L. H.	Strange Glory	1936	Fiction-Novel	Male	White	Britain	60850
127	mdp.39015002742446	0.0	0.04216466697706719	Rolfe, Frederick	Don Tarquinio: A Kataleptic Phantasmatic Romance	1905	Fiction-Novel	Male	White	Britain	47111
6	coo.31924008035770	0.0	0.1635828797974679	Wilde, Oscar	The Happy Prince and Other Tales	1888	Fiction-Stories	Male	White	Ireland	60716
417	uc1.$b87357	0.0	3.3742477084365756	Chesterton, G. K.	The Sword of Wood	1928	Fiction-Stories	Male	White	Britain	5887
393	uc1.$b244159	0.0	0.17911809070844117	Powys, Theodore Francis	Mark Only	1924	Fiction-Novel	Male	White	Britain	72085
391	uc1.$b244157	0.0	0.29632373486923796	Powys, Theodore Francis	Innocent Birds	1926	Fiction-Novel	Male	White	Britain	73739
390	uc1.$b244156	0.0	0.1546677202030688	Powys, Theodore Francis	Black Bryony	1923	Fiction-Novel	Male	White	Britain	44951
484	uc1.b3810633	0.0	0.31247050295946716	Conrad, Joseph	The Nature of a Crime	1923	Fiction-Novel	Male	White	Europe	22250
450	uc1.32106014380650	0.0	0.14032351129956286	Conrad, Joseph	An Outcast of the Islands	1896	Fiction-Novel	Male	White	Europe	127404
157	mdp.39015006194115	0.0	0.20335574885409924	West, Rebecca	The Thinking Reed	1936	Fiction-Novel	Female	White	Ireland	146523
214	mdp.39015030719598	0.0	0.05910673144621052	Wells, H. G.	The King Who Was a King	1929	Fiction-Novel	Male	White	Britain	50411
72	inu.32000002820936	0.0	0.06773116564227402	Conrad, Joseph	Almayer's Folly	1895	Fiction-Novel	Male	White	Europe	73320
87	inu.39000001387062	0.0	0.6178599147609992	Potter, Beatrix	Peter Rabbit	1902	Fiction-Novel	Female	White	Britain	3215
496	uc1.b3862556	0.0	0.02810997687652637	Compton-Burnett, Ivy	A House and Its Head	1935	Fiction-Novel	Female	White	Britain	105999
338	osu.32435017802885	0.0	0.03157758601654234	Conrad, Joseph	The Arrow of Gold	1919	Fiction-Novel	Male	White	Europe	125812
473	uc1.b3759961	0.0	0.4633709147687915	Wells, H. G.	The Croquet Player: A Story	1937	Fiction-Novel	Male	White	Britain	19291
337	osu.32435015440100	0.0	0.05647810374754027	Grahame, Kenneth	The Wind in the Willows	1908	Fiction-Stories	Male	White	Britain	70343
503	uc1.b4083133	0.0	0.14284622651780618	Wells, H. G.	All Aboard for Ararat	1940	Fiction-Novel	Male	White	Britain	27812
504	uc1.b4083252	0.0	0.3199155488559899	Wells, H. G.	The Camford Visitation	1937	Fiction-Novel	Male	White	Britain	15523
469	uc1.b3575558	0.0	0.12213598290436625	Yeats, William Butler	Adoration of the Magi	1897	Fiction-Stories	Male	White	Ireland	8132
322	nyp.33433074875026	0.0	0.2655539777261428	Macaulay, Rose	The Furnace	1907	Fiction-Novel	Female	White	Britain	52362
419	uc1.31822038204657	0.0	2.474090317410672	Firbank, [Arthur Annesley] Ronald	"""Odette d'Antrevernes"" and ""A Study in Temperament"""	1905	Fiction-Stories	Male	White	Britain	7226
357	pst.000021133824	0.0	1.0937166133411278	Stevenson, Robert Louis	Treasure Island	1883	Fiction-Novel	Male	White	Britain	17254
318	miun.afb2696.0001.001	0.0	0.03083736379093102	Wells, H. G.	The Brothers: A Story	1938	Fiction-Novel	Male	White	Britain	32208
366	pst.000031167109	0.0	0.08853320969633252	MacDonald, George	The Princess and Curdie	1883	Fiction-Novel	Male	White	Britain	67311
348	pst.000006696801	0.0	0.03891147391813103	Myers, L. H.	The Orissers	1922	Fiction-Novel	Male	White	Britain	178674
447	uc1.32106013771271	0.0	0.1010797692833611	James, Henry	Washington Square	1881	Fiction-Novel	Male	White	Us	78608
22	coo.31924052984741	0.0	0.18945949252463393	James, Henry	The Ambassadors	1903	Fiction-Novel	Male	White	Us	188724
539	uc2.ark:/13960/t3zs2w44g	0.0	0.22094651309233226	Wells, H. G.	The Undying Fire	1919	Fiction-Novel	Male	White	Britain	53943
159	mdp.39015008044854	0.0	0.08480926753065948	Compton-Burnett, Ivy	Daughters and Sons	1937	Fiction-Novel	Female	White	Britain	117111
119	mdp.39015002709973	0.0	0.47240716186474774	Powys, John Cowper	Rodmoor: A Romance	1916	Fiction-Novel	Male	White	Britain	151376
74	inu.32000004078566	0.0	0.2259393675795803	Conrad, Joseph	A Set of Six	1908	Fiction-Stories	Male	White	Europe	101106
