	htid	pub_date_htrc	title_htrc
643	mdp.39015010521865	1975	The needle/King, Francis Henry,
644	mdp.39015020486141	1976	Me and my million/King, Clive.
645			
646	hvd.hwkqc2	1850	Alton Locke/Kingsley, Charles,
647	iau.31858058742572	1899	The Hillyars and Burtons/Kingsley, Henry,
648			
649			
650			
651			
652			
653			
654			
655			
656			
657			
658			
659	inu.30000026345441	1992	Sweet Thames/Kneale, Matthew,
660	uc1.b3472749	1969	By the waters of whitechapel/Kops, Bernard,
661	uc1.$b808652	1971	The passionate past of Gloria Gaye/Kops, Bernard,
662			
663			
664	inu.30000126982325	2009	The black album/Kureishi, Hanif.
665	mdp.39015045655688	1997	Love in a blue time/Kureishi, Hanif.
666			
667			
668			
669			
670			
671	uc2.ark:/13960/t88g8ss81	1894	Cock Lane and common-sense/Lang, Andrew,
672			
673			
674			
675	mdp.39015063932977	1883	A Chelsea householder/Lawless, Emily,
676			
677			
678			
679			
680	inu.32000002629865	1934	The noise of history/Lehmann, John,
681			
682			
683			
684			
685			
686			
687			
688			
689	dul1.ark:/13960/t0pr8j32j	1889	Miss Meredith/Levy, Amy,
690	uc1.32106018920386	    	The apes of God/Lewis, Wyndham,
691	mdp.39015011361808	1951	Rotting hill/Lewis, Wyndham,
692			
693			
694			
695			
696			
697			
698			
699			
700			
701			
702	mdp.39015021991388	1991	City of the mind/Lively, Penelope,
703	mdp.39015012961457	1985	Accommodation offered/Livia, Anna.
704			
705			
706			
707			
708			
709			
710			
711			
712			
713	mdp.39015031241477	1907	Listener's lure;/Lucas, E. V. (Edward Verrall),
714	coo1.ark:/13960/t0ks77r69	1908	Over Bemerton's;/Lucas, E. V. (Edward Verrall),
715			
716			
717			
718			
719	nyp.33433112047091	1915	Arthur's/(Albert Neil), Lyons, A. Neil
720	uc2.ark:/13960/t8gf0rn7t	1909	Sixpenny pieces/Lyons, A. Neil (Albert Neil),
721			
722	uc2.ark:/13960/t4fn13b4h	1916	Moby lane and thereabouts/(Albert Neil), Lyons, A. Neil
723			
724	mdp.39015063938958	1919	A London lot/Lyons, A. Neil (Albert Neil),
725	uc2.ark:/13960/t4hm5436j	1922	A market bundle/(Albert Neil), Lyons, A. Neil
726			
727			
728			
729			
730	mdp.39015020486216	1977	No end to yesterday/Macdonald, Shelagh.
731	uc2.ark:/13960/t6nz83909	1903	The masterfolk/Macfall, Haldane,
732			
733	inu.39000003273724	1957	City of Spades/MacInnes, Colin.
734	uc1.32106014759010	1960	Absolute beginners/MacInnes, Colin.
735	uc1.b4091398	1960	Mr. Love and Justice/MacInnes, Colin.
736			
737			
738			
739			
740			
741			
742			
743			
744	uc1.$b243929	1956	My old man's a dustman/Mankowitz, Wolf,
745	uc1.$b389841	1973	The blue Arabian nights;/Mankowitz, Wolf.
746			
747			
748			
749	njp.32101065863696	1855	The old Chelsea bun-house/Manning, Anne,
750	uc2.ark:/13960/t8jd4sb70	1853	Cherry & Violet/Manning, Anne,
751	mdp.39015005747012	1955	The doves of Venus/Manning, Olivia.
752			
753			
754	inu.32000009544521	1963	Possession/Markandaya, Kamala,
755			
756	mdp.39015005444388	1982	Pleasure city/Markandaya, Kamala,
757	hvd.hn1gqx	1917	The beetle/Marsh, Richard,
758			
759			
760			
761			
762			
763	mdp.39015043780223	1998	Incomparable world/Martin, S. I.
764			
765			
766			
767			
768			
769			
770	uc1.$b243482	1921	Liza of Lambeth/Maugham, W. Somerset (William Somerset),
771			
772			
773	uc2.ark:/13960/t6vx0fv22	1858	Paved with gold;/Mayhew, Augustus,
774			
775	mdp.39015023647756	1987	The child in time/McEwan, Ian.
776	mdp.39015019442147	1990	Spider/McGrath, Patrick,
777	mdp.39076000979406	1987	Master Cornhill/McGraw, Eloise Jarvis.
778			
779			
780			
781			
782			
783	mdp.39015031823761	1976	The West End horror/Meyer, Nicholas.
784	mdp.39015030760501	1979	In a strange land/Middleton, Stanley,
785			
786			
787			
788			
789			
790			
791			
792			
793			
794			
795	mdp.39015008830088	1982	Sour sweet/Mo, Timothy.
796			
797			
798			
799	mdp.39015014278033	1988	Mother London/Moorcock, Michael,
800	mdp.39015073446000	1946	The listening world/Moore, Reginald,
801			
802	uc2.ark:/13960/t59c6vp0b	1906	Joseph Vance/De Morgan, William,
803	uc2.ark:/13960/t6b27s285	1907	Alice-for-short/De Morgan, William Frend,
804	uc2.ark:/13960/t3kw5ms5x	1906	Somehow good/De Morgan, William Frend,
805	hvd.hn5m6y	1900	It never can happen again/De Morgan, William Frend,
806	aeu.ark:/13960/t75t4xv5v	1910	An affair of dishonour/De Morgan, William Frend,
807	uc2.ark:/13960/t3513xc55	1911	A likely story/De Morgan, William Frend,
808	coo1.ark:/13960/t09w10k30	1914	When ghost meets ghost/De Morgan, William,
809	uc2.ark:/13960/t6c24z72r	1919	The old madhouse/De Morgan, William Frend,
810	coo1.ark:/13960/t5h99pb3j	1921	The old man's youth/De Morgan, William,
811			
812			
813	uc2.ark:/13960/t6nz8211s	1894	Tales of mean streets/Morrison, Arthur,
814	uc2.ark:/13960/t52f7wr0j	1896	A child of the Jago/Morrison, Arthur,
815	uc2.ark:/13960/t0gt5p19c	1899	To London town/Morrison, Arthur,
816	uc2.ark:/13960/t80k2kt3v	1902	The hole in the wall/Morrison, Arthur,
817			
818	mdp.39015040371356	1997	Felix in the underworld/Mortimer, John,
819			
820			
821			
822			
823			
824	inu.32000002613497	1954	Under the net/Murdoch, Iris.
825			
826	uiug.30112052944540	1886	A life's atonement/Murray, David Christie,
827			
828			
829			
830	mdp.39015005862209	1963	Mr. Stone and the knights companion/Naipaul, V. S. (Vidiadhar Surajprasad),
831			
832			
833			
834			
835			
836	mdp.39015047458396	1998	Manners/Newman, Robert,
837			
838			
839			
840			
841			
842			
843			
844	mdp.39015002299959	1974	Girls in their married bliss/O'Brien, Edna.
845			
846	mdp.39015047713527	1999	Open cut/(Jerry M.) O'Neill, J. M.
847			
848			
849			
850			
851			
852			
853			
854			
855			
856			
857			
858	uc1.32106008645993	1989	The men's room/Oakley, Ann.
859			
860	mdp.39015011950204	1870	Piccadilly;/Oliphant, Laurence,
861	uiuo.ark:/13960/t00z7t18b	1894	A house in Bloomsbury/Oliphant, (Margaret), Mrs.
862			
863			
864			
865			
866			
867			
868			
869			
870			
871			
872			
873			
874	uiug.30112071966698	1862	Meliboeus in London/Payn, James,
875			
876			
877			
878			
879			
880			
881			
882			
883			
884			
885			
886			
