	a_last	a_first	htid	pub_date	title	imprint	genre	genre_notes	gender_guess	gender_known	white	race	origin_area	origin_nation	origin_notes	religion	uni_degree	bib_source	notes	entered	ignore	notes_ignore	pub_date_htrc	title_htrc
812	Morier	James J		1849.0	Martin Toutrand; or, Adventures of a Frenchman in London									Turkey				DKM Snell						
813	Morrison	Arthur	uc2.ark:/13960/t6nz8211s	1894.0	Tales of Mean Streets									Britain - England				DKM Snell					1894	Tales of mean streets/Morrison, Arthur,
814	Morrison	Arthur	uc2.ark:/13960/t52f7wr0j	1896.0	A Child of the Jago									Britain - England				DKM Snell					1896	A child of the Jago/Morrison, Arthur,
815	Morrison	Arthur	uc2.ark:/13960/t0gt5p19c	1899.0	To London Town									Britain - England				DKM Snell					1899	To London town/Morrison, Arthur,
816	Morrison	Arthur	uc2.ark:/13960/t80k2kt3v	1902.0	The Hole in the Wall									Britain - England				DKM Snell					1902	The hole in the wall/Morrison, Arthur,
817	Mortimer	Carole		1991.0	Fated Attraction									Britain - England				DKM Snell						
818	Mortimer	John	mdp.39015040371356	1997.0	Felix in the Underworld									Britain - England				DKM Snell					1997	Felix in the underworld/Mortimer, John,
819	Mount	Ferdinand		1998.0	Jem (and Sam): a Revenger's Tale									Britain - England				DKM Snell						
820	Mulvihill	Margaret		1987.0	Low Overheads									Ireland				DKM Snell						
821	Mundell	Frank		1895.0	Stories of the Royal Humane Society	%	Nonfiction - other							Britain - England				Literary London	Volume 2, issue 1, Downward Mobility, L.J. Nicoletti	Patrick Evans				
822	Munro	Hector Hugh		1914.0	Beasts and Super-Beasts	%	Fiction-Stories							Britain - England				Literary London	Volume 2, issue 1, Mapping London, Lorene Birden	Patrick Evans				
823	Munro	Hector Hugh		1926.0	The Collected Works of Saki	%	Fiction-Stories							Britain - England				Literary London	Volume 2, issue 1, Mapping London, Lorene Birden	Patrick Evans				
824	Murdoch	Iris	inu.32000002613497	1954.0	Under the Net									Ireland				DKM Snell					1954	Under the net/Murdoch, Iris.
825	Murdoch	Iris		1993.0	The Green Knight									Ireland				DKM Snell						
826	Murray	David Christie	uiug.30112052944540	1880.0	A Life's Atonement									Britain - England				DKM Snell					1886	A life's atonement/Murray, David Christie,
827	Musgrave	Mrs. 		1890.0	Savage London: Lights and Shadows of Riverside Character and Queer Life in London Dens									Unknown				DKM Snell						
828	Myers	Amy		1896.0	Murder in Pug's Parlour									Britain - England				DKM Snell						
829	Myers	Amy		1991.0	Murder in the Limelight									Britain - England				DKM Snell						
830	Naipaul	V. S.	mdp.39015005862209	1963.0	Mr. Stone and the Knight's Companion									Trinidad and Tobego				DKM Snell					1963	Mr. Stone and the knights companion/Naipaul, V. S. (Vidiadhar Surajprasad),
831	Neel	Janet		1993.0	Death Among the Dons									Britain - England				DKM Snell						
832	Newman	Bernard		1965.0	The Spy at No. 10									Britain - England				DKM Snell						
833	Newman	G. F.		1970.0	Sir You Bastard									Britain - England				DKM Snell						
834	Newman	Kim		1992.0	Anno Dracula									Britain - England				DKM Snell						
835	Newman	Kim		1994.0	The Quorum									Britain - England				DKM Snell						
836	Newman	Robert	mdp.39015047458396	1998.0	Manners									Britain - England				DKM Snell					1998	Manners/Newman, Robert,
837	Niall	Ian		1974.0	A London Boyhood									Britain - Scotland				DKM Snell						
838	Nicholson	Renton		1838.0	Cockney Adventures, and Tales of London Life									Britain - England				DKM Snell						
839	Nicholson	Renton		1847.0	Dombey and Daughter									Britain - England				DKM Snell						
840	Nicholson	Geoffrey		1997.0	Bleeding London									Britain - England				DKM Snell						
841	Norman	Diana		1994.0	The Vizard Mask									Britain - England				DKM Snell						
842	Norman 	Frank		1975.0	Down and Out in High Society: a Novel									Britain - England				DKM Snell						
843	North	Sam		1989.0	The Automatic Man									Britain - England				DKM Snell						
844	O'Brien	Edna	mdp.39015002299959	1964.0	Girls in their Married Bliss									Ireland				DKM Snell					1974	Girls in their married bliss/O'Brien, Edna.
845	O'Conner	Bridget		1993.0	Here Comes John									Britain - England				DKM Snell						
846	O'Neill	J. M.	mdp.39015047713527	1986.0	Open Cut									Ireland				DKM Snell					1999	Open cut/(Jerry M.) O'Neill, J. M.
847	O'Neill	J. M.		1987.0	Duffy is Dead									Ireland				DKM Snell						
848	O'Neill	Gilda		1992.0	The Cockney Girl									Britain - England				DKM Snell						
849	O'Neill	Gilda		1993.0	Whitechapel Girl									Britain - England				DKM Snell						
850	O'Neill	Gilda		1994.0	The Bells of Bow									Britain - England				DKM Snell						
851	O'Neill	Gilda		1995.0	Just Around the Corner									Britain - England				DKM Snell						
852	O'Neill	Gilda		1996.0	Cissie Flowers									Britain - England				DKM Snell						
853	O'Neill	Gilda		1997.0	Dream On									Britain - England				DKM Snell						
854	O'Neill	Gilda		1998.0	The Lights of London									Britain - England				DKM Snell						
855	O'Riordain	Conal O'Connell		1922.0	In London									Irish				DKM Snell						
856	O'Riordain	Conal O'Connell		1924.0	Married Life									Irish				DKM Snell						
857	O'Rourke	Rebecca		1987.0	Jumping the Cracks									Unknown				DKM Snell						
858	Oakley	Ann	uc1.32106008645993	1988.0	The Men's Room: a Novel									Britain - England				DKM Snell					1989	The men's room/Oakley, Ann.
859	Oldfield	Pamela		1989.0	A Dutiful Wife									Britain - England				DKM Snell						
860	Oliphant	Laurence	mdp.39015011950204	1866.0	Piccadilly									Britain - England				DKM Snell					1870	Piccadilly;/Oliphant, Laurence,
861	Oliphant	Margaret	uiuo.ark:/13960/t00z7t18b	1894.0	A House in Bloomsbury: a Novel									Britain - Scotland				DKM Snell					1894	A house in Bloomsbury/Oliphant, (Margaret), Mrs.
862	Oliver	Jane		1933.0	Business as Usual									Unknown				DKM Snell	w/ Ann Stafford					
863	Orde	Lewis		1981.0	Heritage: a Novel									Unknown				DKM Snell						
864	Owen	Jane		1997.0	Camden Girls									Unknown				DKM Snell						
865	Page 	Kathy		1987.0	The Unborn Dreams of Clara Riley									Britain - England				DKM Snell						
866	Pain	Barry Eric Odell		1906.0	Wilhelmina in London									Britain - England				DKM Snell						
867	Palmer	William J. 		1990.0	The Detective and Mr. Dickens: Being an Account of the Macbeth Murders and the Strange Events Surrounding them									American				DKM Snell						
868	Palmer	William J. 		1992.0	The Highwayman and Mr. Dickens: an Account of the Strange Events of the Medusa Murders									American				DKM Snell						
869	Palmer	Elizabeth		1994.0	Plucking the Apple									Unknown				DKM Snell						
870	Palmer	William J. 		1997.0	The Hoydens and Mr. Dickens: the Strange Affair of the Feminist Phantom									American				DKM Snell						
871	Park	Christine		1989.0	The Househusband									Unknown				DKM Snell						
872	Parker	Elizabeth		1993.0	GIlded Splendour									Unknown				DKM Snell						
873	Parker	Laura		1994.0	Caprice									Unknown				DKM Snell						
874	Payn 	James	uiug.30112071966698	1862.0	Meliboeus in London									Britain - England				DKM Snell					1862	Meliboeus in London/Payn, James,
875	Payne	Jill Paton		1969.0	Firewood									Unknown				DKM Snell						
876	Pemberton	Victor		1991.0	Our Family									Britain - England				DKM Snell						
877	Pemberton	Victor		1993.0	Our Street									Britain - England				DKM Snell						
878	Pemberton	Victor		1994.0	Our Rose									Britain - England				DKM Snell						
879	Pemberton	Margaret		1995.0	The Londoners									Britain - England				DKM Snell						
880	Pemberton	Margaret		1996.0	Magnolia Street									Britain - England				DKM Snell						
881	Pemberton	Victor		1996.0	The Silent War									Britain - England				DKM Snell						
882	Pemberton	Margaret		1997.0	Coronation Summer									Britain - England				DKM Snell						
883	Pemberton	Margaret		1998.0	The Last Letter									Britain - England				DKM Snell						
884	Pemberton	Margaret		1998.0	The Far Morning									Britain - England				DKM Snell						
885	Penman	Sharon K		1996.0	The Queen's Man									American				DKM Snell						
886	Penman	Sharon K		1998.0	Creul as the Grave									American				DKM Snell						
887	Penn	Margaret	mdp.39015032438247	1951.0	The Foolish Virgin									Britain - England				DKM Snell					1980	The foolish virgin/Penn, Margaret.
888	Perry 	Anne		1979.0	The Cater Street Hangman									Britain - England				DKM Snell						
889	Perry 	Anne		1980.0	Callander Street									Britain - England				DKM Snell						
890	Perry 	Anne		1981.0	Resurrection Row									Britain - England				DKM Snell						
891	Perry 	Anne		1983.0	Paragon Walk									Britain - England				DKM Snell						
892	Perry 	Anne		1983.0	Rutland Place									Britain - England				DKM Snell						
893	Perry 	Anne		1984.0	Bluegate Fields									Britain - England				DKM Snell						
894	Perry 	Anne		1985.0	Death in the Devil's Acre									Britain - England				DKM Snell						
895	Perry 	Anne		1988.0	Silence in Hanover Close									Britain - England				DKM Snell						
896	Perry 	Anne	mdp.49015002980606	1990.0	Bethlehem Road									Britain - England				DKM Snell					1990	Bethlehem Road/Perry, Anne.
897	Perry 	Anne		1991.0	Highgate Rise									Britain - England				DKM Snell						
898	Perry 	Anne		1992.0	Belgrave Square									Britain - England				DKM Snell						
899	Perry 	Anne		1992.0	Defend and Betray									Britain - England				DKM Snell						
