	author	london_frac	weight	pub_date_avg	books	wordcount	ethnicity	corpus
1895	Heimburg, W.,	1.0	0.07544630746620935	1880.0	1	49308		Hathi
4369	Wright, Harold Bell,	1.0	0.051517885729730664	1929.0	1	48140		Hathi
4317	Williamson, Thames,	1.0	0.027779195535621696	1929.0	1	89278		Hathi
1948	Hillam, S. A.	1.0	0.1090013340134153	1888.0	1	34129		Hathi
1983	Hogner, Dorothy Childs.	1.0	0.06850646425692597	1939.0	1	18101		Hathi
4309	Williams, Henry Llewellyn,	1.0	0.1122745979520689	1883.0	1	33134		Hathi
1776	Hall, Jennie,	1.0	0.028134030073387262	1913.0	1	44076		Hathi
1608	Gogolʹ, Nikolaĭ Vasilʹevich,	1.0	0.01158110754725346	1928.0	1	107074		Hathi
963	Cruikshank, George,	1.0	0.1026944521337157	1885.0	1	36225		Hathi
1089	Dennehy, H. E.	1.0	0.03094093966726011	1890.0	1	80155		Hathi
1610	Golding, Harry.	1.0	0.34474159285922074	1915.0	1	3597		Hathi
1087	Delteil, Joseph,	1.0	0.09125960476263004	1928.0	1	27176		Hathi
1628	Gordon, Samuel.	1.0	0.05817775184683817	1898.0	1	106573		Hathi
1032	Davis, Alexander,	1.0	0.044414674672347894	1898.0	1	55839		Hathi
1697	Grey, Edward.	1.0	0.04353904390697717	1891.0	1	56962		Hathi
4331	Wilson, Richard.	1.0	0.04647228642778078	1916.0	1	80050		Hathi
586	Bruun, Laurids,	1.0	0.07658164416377815	1908.0	1	48577		Hathi
787	Clare, Austin.	1.0	0.027813464684968085	1882.0	1	44584		Hathi
1709	Griffis, William Elliot,	1.0	0.025081624383386264	1887.0	1	49440		Hathi
1714	Grigorovich, D. V.	1.0	0.009282675651000981	1916.0	1	133586		Hathi
1731	Gréville, Henry,	1.0	1.4998917562922491	1899.0	1	9921		Hathi
1766	Hall, Angus W.,	1.0	0.04697697346311215	1897.0	1	79190		Hathi
4251	Westbury, Atha.	1.0	0.04588192561104898	1897.0	1	81080		Hathi
1633	Gotthelf, Jeremias,	0.96848501260938	0.3388023240148241	1887.0	2	233443		Hathi
1997	Holmes, F. M.	0.9615384615384616	0.7863064470253407	1880.0	1	41003		Hathi
2980	Mérimée, Prosper,	0.9598745763131614	4.093831960201695	1902.0	3	209177		Hathi
