	author	volumes	weight	pub_date_avg	books	wordcount	ethnicity	corpus
279	Barrie, J. M.	9.0	1.0	1908.7777777777778	9	494926		Hathi
552	Brontë, Charlotte,	9.0	1.0	1898.111111111111	9	1742851		Hathi
1597	Gissing, Algernon,	9.0	1.0	1896.6666666666667	9	570050		Hathi
3115	Onions, Oliver,	9.0	1.0	1919.111111111111	9	1012751		Hathi
27	(Herbert George), Wells, H. G.	9.0	1.0	1928.5555555555557	9	1205147		Hathi
873	Conrad, Joseph,	9.0	1.0	1921.2222222222222	9	785356		Hathi
4326	Wilde, Oscar,	8.0	1.0	1902.5	8	531539		Hathi
2252	Jókai, Mór,	8.0	1.0	1900.25	8	782307		Hathi
1656	Graham, Stephen,	8.0	1.0	1921.5	8	1056020		Hathi
3845	Steel, Flora Annie Webster,	8.0	1.0	1909.0	8	1014750		Hathi
1561	Gibbon, Charles,	8.0	1.0	1887.75	8	567087		Hathi
656	Caine, Hall,	8.0	1.0	1897.5	8	1054729		Hathi
3359	Quiller-Couch, Arthur Thomas,	8.0	1.0	1891.5	8	613729		Hathi
762	Chesterton, G. K. (Gilbert Keith),	8.0	1.0	1930.375	8	922138		Hathi
2551	Loti, Pierre,	8.0	1.0	1904.0	8	485396		Hathi
622	Burnand, F. C.	8.0	1.0	1889.375	8	775797		Hathi
4240	Watson, H. B. Marriott	8.0	1.0	1903.125	8	847351		Hathi
1883	Hawthorne, Nathaniel,	8.0	1.0	1919.125	8	959635		Hathi
3211	Penny, F. E.	8.0	1.0	1909.625	8	1163722		Hathi
1838	Harland, Henry,	8.0	1.0	1898.375	8	588446		Hathi
620	Burke, Thomas,	7.0	1.0	1931.7142857142858	7	562653		Hathi
3816	St. Aubyn, Alan.	7.0	1.0	1893.4285714285713	7	363728		Hathi
363	Benson, Robert Hugh,	7.0	1.0	1909.5714285714287	7	910168		Hathi
2300	Kernahan, Coulson,	7.0	1.0	1899.2857142857142	7	336843		Hathi
3619	Scott, P. E. S.	7.0	1.0	1916.0	7	721380		Hathi
276	Barrett, Frank,	7.0	1.0	1886.142857142857	7	400481		Hathi
4307	White, William Hale,	7.0	1.0	1900.0	7	479401		Hathi
1984	Hocking, Silas K.	7.0	1.0	1893.0	7	644906		Hathi
1553	George, Walter Lionel,	7.0	1.0	1921.857142857143	7	858334		Hathi
676	Cannan, Gilbert,	7.0	1.0	1918.142857142857	7	844460		Hathi
3991	Taylor, Meadows,	7.0	1.0	1904.5714285714287	7	1771153		Hathi
4258	Wedmore, Frederick,	7.0	1.0	1900.2857142857142	7	210718		Hathi
3165	Parker, Gilbert,	7.0	1.0	1915.0	7	884994		Hathi
4254	Webb, Mary Gladys Meredith,	7.0	1.0	1929.5714285714287	7	682589		Hathi
1456	Francis, M. E.,	7.0	1.0	1903.4285714285713	7	708178		Hathi
3082	O'Donnell, Elliott,	7.0	1.0	1917.2857142857142	7	516820		Hathi
3417	Reid, Forrest,	7.0	1.0	1919.0	7	604473		Hathi
680	Capes, Bernard Edward Joseph,	7.0	1.0	1912.0	7	759724		Hathi
3648	Sewell, Elizabeth Missing,	7.0	1.0	1886.0	7	1785689		Hathi
598	Buchanan, Robert Williams,	7.0	1.0	1890.7142857142858	7	507896		Hathi
3656	Sharp, William,	7.0	1.0	1901.2857142857142	7	489977		Hathi
4397	Wren, Percival Christopher,	7.0	1.0	1918.5714285714287	7	618953		Hathi
4209	Walpole, Hugh,	7.0	1.0	1916.5714285714287	7	904007		Hathi
152	Arlen, Michael,	7.0	1.0	1925.142857142857	7	552996		Hathi
2022	Homer.	7.0	1.0	1920.4285714285713	7	900595		Hathi
2071	Hudson, W. H.	7.0	1.0	1907.142857142857	7	597491		Hathi
3223	Perrin, Alice,	7.0	1.0	1912.857142857143	7	548352		Hathi
3686	Shorthouse, J. H.	7.0	1.0	1888.2857142857142	7	536138		Hathi
1357	Ferrier, Susan,	7.0	1.0	1900.0	7	1208556		Hathi
