	author	spec_world_subcity	weight	pub_date_avg	books	wordcount	ethnicity	corpus
40	Lucas , E. V.	0.24756606397774686	3.2114464047420106	1908.0	1	81987		London
66	Tey, Josephine	0.24427244515608146	1.3801878181363583	1930.0	2	179653		London
76	Whiteing, Richard	0.23712855020498128	6.287663015506266	1901.8333333333333	6	555852		London
70	Walpole, Hugh	0.22309711286089293	0.6867104057420089	1913.0	1	203174		London
1	Aldington, Richard	0.21457489878542566	0.6543046573900917	1934.0	1	138240		London
42	Lyons, Neil	0.20114843314105646	3.3765550265872486	1914.2	5	383343		London
50	Powell , Anthony	0.19791666666666669	0.5056028823080065	1931.0	1	69531		London
36	Keeling, Annie E	0.19298245614035153	1.1946045437700317	1886.0	1	52419		London
64	Smith, Stevie	0.19200000000000103	1.3123331359987829	1936.0	1	69761		London
14	Buchan, John	0.1757877280265327	1.9493957945159457	1916.0	1	113275		London
79	Zangwill, Israel	0.17484140320279265	4.140316333366747	1899.3333333333333	3	352912		London
59	Sangster, Rena U. N.	0.1689497716894974	1.3795760095087146	1909.0	1	58132		London
24	Forster, E.M.	0.15476190476190466	1.9285295871688122	1910.0	1	47851		London
72	Warden , Florence	0.1187214611872145	1.4754666185517262	1887.0	1	54354		London
6	Benson , E. F.	0.11666666666666665	1.1600190727046493	1937.0	1	18941		London
38	Levy, Amy	0.09333333333333332	0.9885506090099505	1889.0	1	27783		London
