	author	london_frac	weight	pub_date_avg	books	wordcount	ethnicity	corpus
44	Marsh, Richard	0.553191489361702	0.45242851561212666	1897.0	1	134197		London
6	Benson , E. F.	0.553191489361702	1.6027281957024604	1937.0	1	18941		London
37	Lawless, Emily	0.5515463917525776	0.7055274419292897	1882.0	1	177604		London
65	Snaith, John Collins	0.5505725154461308	3.6058229966566833	1908.5	4	472102		London
48	Murray, David Christie	0.5482233502538066	0.6095230061028577	1880.0	1	208757		London
40	Lucas , E. V.	0.5358974358974361	3.0724479553899453	1908.0	1	81987		London
25	Galsworthy, John	0.5347375687421846	6.404258078258964	1918.7142857142858	7	830042		London
53	Raymond, Ernest	0.5183667419164266	2.6561922255579997	1931.3333333333333	3	605180		London
76	Whiteing, Richard	0.502063219347301	4.372155739656926	1901.8333333333333	6	555852		London
38	Levy, Amy	0.5	0.3254721405230998	1889.0	1	27783		London
74	Waugh, Evelyn	0.48860499574035904	1.9988889034943464	1929.0	2	155770		London
73	Waugh, Alec	0.4836065573770498	0.7004109548011832	1925.0	1	112505		London
61	Silberrad, Una	0.48076923076923084	0.2511498524597012	1907.0	1	133732		London
36	Keeling, Annie E	0.4714285714285714	0.8625300444641525	1886.0	1	52419		London
4	Bell, Adrian	0.4642857142857144	0.25766776315476375	1934.0	1	70188		London
42	Lyons, Neil	0.46368993683205667	3.2878706191335896	1914.2	5	383343		London
60	Sayer, Dorothy	0.4520834480194595	2.0461622739906598	1932.0	3	456251		London
8	Beresford, J. D.	0.4454545454545451	0.681622688305177	1933.0	1	104235		London
35	Johnson, Pamela Hansford	0.4444444444444445	0.1092738411732285	1935.0	1	106395		London
24	Forster, E.M.	0.4302325581395349	2.321679956809925	1910.0	1	47851		London
67	Thomas, Edward	0.4035087719298244	1.3474954023673684	1913.0	1	81966		London
31	Hill, Robert H.	0.3955555555555563	2.007478335547916	1934.0	1	72393		London
41	Lucas, E. V.	0.39043824701195246	1.520904030957275	1906.0	1	106595		London
62	Silberrad, Una L	0.3897724571297954	0.9138185959434256	1906.3333333333333	3	428804		London
64	Smith, Stevie	0.3529411764705882	0.9443922135942054	1936.0	1	69761		London
14	Buchan, John	0.13930348258706488	1.1461116048244204	1916.0	1	113275		London
