	author	spec_world_subcity	weight	pub_date_avg	books	wordcount	ethnicity	corpus
62	Munro, Hector Hugh	0.21942682108413944	6.866431866337325	1910.6666666666667	6	321293	White	Prominent
0	Aldington, Richard	0.21605254657740885	11.384096145659415	1933.6666666666667	9	1128464	White	Prominent
52	Lewis, Wyndham	0.21256667947354033	4.114015315452947	1928.6666666666667	6	906827	White	Prominent
49	Lawrence, D. H.	0.21102520941312045	16.360308596080703	1921.7368421052631	19	2621119	White	Prominent
13	Burnett, Frances Hodgston	0.2108785519664124	1.2665883119024366	1898.5	2	171937	White	Prominent
98	Yeats, William Butler	0.20907615377316782	1.9856806942776228	1895.0	2	54058	White	Prominent
79	Shorthouse, Joseph Henry	0.20612813370473562	1.8848145855972795	1881.0	1	213864	White	Prominent
20	Conrad, Joseph	0.2057414686293901	20.414253971701655	1910.3333333333333	24	2659519	White	Prominent
25	Ford, Ford Madox	0.2035456524436796	40.387547958516286	1917.0	29	3355140	White	Prominent
81	Smith, Stevie	0.2029367969709811	3.9471458150342715	1937.0	2	146889	White	Prominent
76	Sassoon, Siegfried	0.19713223211177144	3.1831366891766333	1933.0	2	155483	White	Prominent
26	Forster, E. M.	0.19611288440816319	8.719245614726747	1913.375	8	754279	White	Prominent
57	Mason, A. E. W.	0.19384615384615347	1.71837285011859	1902.0	1	141575	White	Prominent
21	Delafield, E. M.	0.19075144508670513	1.1262357323884065	1930.0	1	57492	White	Prominent
66	Pater, Walter	0.18889227249505894	2.807490192864201	1886.0	2	184554	White	Prominent
82	Somerville, Edith	0.18750000000000047	0.46972072043788154	1899.0	1	165735	White	Prominent
59	Meredith, George	0.1833333333333333	0.8443332232422864	1885.0	1	186177	White	Prominent
31	Graves, Robert	0.18067792802928592	5.0469036533137155	1934.0	2	409424	White	Prominent
42	Isherwood, Christopher	0.1773246285218005	3.417387863792533	1935.3333333333333	3	235132	White	Prominent
99	de la Mare, Walter	0.17283950617283902	0.33480133435328907	1921.0	1	181100	White	Prominent
35	Hall, Radclyffe	0.17277486910994808	1.0960879628838038	1928.0	1	195659	White	Prominent
40	Household, Geoffrey	0.17085427135678383	1.076248340799605	1939.0	1	69204	White	Prominent
17	Christie, Agatha	0.1691798652722836	1.2477128117675973	1930.0	2	166406	White	Prominent
56	Mansfield, Katherine	0.16758887813419646	2.572409661804258	1921.6666666666667	6	378856	White	Prominent
16	Childers, Erskine	0.1599326599326604	1.6664736187386064	1903.0	1	133407	White	Prominent
1	Allen, Grant	0.1594260940143044	8.528761071477943	1897.2	5	414878	White	Prominent
93	Weyman, Stanley J.	0.1412803532008831	0.9765378166620213	1893.0	1	173620	White	Prominent
37	Hartley, Leslie Poles	0.11359818811886181	1.1837968997557247	1925.0	2	78076	White	Prominent
67	Potter, Beatrix	0.0	0.34924555988353484	1902.0	1	3215	White	Prominent
