	author	intl_frac	weight	pub_date_avg	books	wordcount	ethnicity	corpus
1609	Gobineau, Arthur, comte de,	0.9787234042553192	0.6940165397734595	1926.0	1	120694		Hathi
1651	Goy, Mathilde Keck.	0.9787234042553191	1.6948481410575704	1902.0	1	19769		Hathi
6	(Aleksandr), Tarasov-Rodionov, A.	0.9787234042553191	0.2532191606626996	1933.0	1	66159		Hathi
2047	Houghton, Louise Seymour,	0.9787234042553191	0.2649783536099767	1906.0	1	63223		Hathi
1384	Fisher, Dorothy Canfield,	0.9786096256684491	1.0737615621713859	1923.0	1	186227		Hathi
2924	Moody, H. A.	0.978494623655914	0.46309791581932663	1898.0	1	71581		Hathi
2498	Ley, Beatrice.	0.978494623655914	1.3231289804723185	1886.0	1	50107		Hathi
1907	Heidenstam, Verner von,	0.978442938359381	1.0371781942013962	1913.5	2	156106		Hathi
2067	Hubbard, Mina.	0.9784172661870503	1.9058999018779113	1908.0	1	103983		Hathi
2151	Istrati, Panait,	0.9784052861835082	1.689819010248876	1930.5	2	87508		Hathi
3047	Nicholson, J. Shield	0.9783439490445859	3.161401649796794	1913.0	1	88507		Hathi
2107	Hutchinson, W. M. L. (Winifred Margaret Lambart),	0.9782608695652174	1.3674396782435843	1914.0	1	71943		Hathi
4187	Vīrēṣa-liṅgamu, Kandukūri,	0.9782608695652174	0.6168655177569466	1887.0	1	79740		Hathi
3302	Prescott, H. F. M. (Hilda Frances Margaret),	0.9782608695652174	0.9093458692547495	1925.0	1	126216		Hathi
2320	King, Rosa E. (Rosa Eleanor),	0.9781879194630873	2.616435069452515	1936.0	1	81194		Hathi
462	Bommart, Jean.	0.9781818181818182	1.870813470437523	1935.0	1	52395		Hathi
3269	Plutarch.	0.9781788880232224	4.595525738399374	1932.5	2	194481		Hathi
1011	Dante Alighieri,	0.9781677673541654	2.1738921319395095	1892.3333333333333	3	236763		Hathi
1104	Deval, Jacques,	0.9781659388646287	2.6607877667827355	1932.0	1	61354		Hathi
4171	Vioux, Marcelle,	0.9781553398058253	2.668053871736952	1936.0	1	110083		Hathi
467	Bontemps, Arna,	0.9781021897810219	0.7193508838258661	1940.0	1	67884		Hathi
2264	Keane, John F.	0.978021978021978	1.4601003797279042	1881.0	1	44430		Hathi
3353	Queen, consort of Henry II, King of Navarre, Marguerite,	0.9779874213836477	1.0329504411240211	1920.0	1	219465		Hathi
3567	Safroni-Middleton, Arnold.	0.9778481012658228	1.2660921091244026	1923.0	1	88963		Hathi
2365	Kʻiačʻeli, Leo,	0.9777777777777777	0.157821224146446	1940.0	1	101633		Hathi
3770	Smithes, M. F.	0.9777777777777777	1.0014887908139207	1910.0	1	16016		Hathi
2918	Montesquieu, Charles de Secondat,	0.9776536312849162	3.3363920292696023	1892.0	1	57370		Hathi
248	Barbusse, Henri,	0.9775784753363228	1.290676956917607	1932.0	1	61585		Hathi
3409	Reeks, Margaret.	0.9775004321769765	2.548334285190235	1911.0	2	161693		Hathi
1006	Dandurova, Aleksandra Ivanovna.	0.9774436090225564	0.21412798650559395	1934.0	1	221394		Hathi
792	Clark, Kate McCosh.	0.9774436090225563	2.1705017143833993	1896.0	1	65524		Hathi
2619	Macaulay, James.	0.9774193548387096	2.2521621681367723	1902.0	1	98125		Hathi
3117	Openshaw, Mary.	0.9774011299435028	1.0837050162287882	1911.0	1	116434		Hathi
973	Cuming, Edward William Diron,	0.9772727272727273	0.5717349185827061	1897.0	1	109725		Hathi
3285	Potapenko, Ignatiĭ Nikolaevich,	0.9772727272727273	0.24218480319608143	1891.0	1	64758		Hathi
4396	Wratislaw, Albert Henry,	0.9770992366412213	0.3572482056234825	1889.0	1	130704		Hathi
12	(Dmitriĭ Vasilʹevich), Grigorovich, D. V.	0.9770992366412213	0.3489870511353801	1926.0	1	133798		Hathi
1751	Guicciardi-Fiastri, Virginia,	0.9770114942528736	0.4077575046013837	1914.0	1	76051		Hathi
285	Barthez, Antoine Charles Ernest,	0.9769230769230769	1.9017988294482966	1912.0	1	48730		Hathi
3404	Ready, Oliver George,	0.976878612716763	1.0812226640583467	1905.0	1	57032		Hathi
237	Balzac, Honoré de,	0.9768776399239966	68.41872434824892	1900.2545454545455	55	7908039		Hathi
4184	Vries, Theun de,	0.9767441860465117	0.5650024420856509	1938.0	1	108509		Hathi
3027	Neukrantz, Klaus,	0.9767441860465117	0.9587141112821642	1932.0	1	63948		Hathi
3660	Shaw, Gertrude.	0.9767441860465116	0.47217999066752747	1914.0	1	32460		Hathi
2441	Le Rossignol, James Edward,	0.9766355140186915	0.8087361001827399	1915.0	1	94318		Hathi
534	Brinig, Myron,	0.9766187050359713	1.0891889086575754	1930.0	1	181953		Hathi
1009	Danilevsiïĭ, Grigorïĭ Petrovich,	0.9765395894428153	1.9005875814928646	1891.0	1	63952		Hathi
2066	Hrussoczy, Marie,	0.9764705882352941	1.840226190830418	1893.0	1	16464		Hathi
3503	Rolland, Romain,	0.9763157894736842	0.982166065214124	1935.0	1	137907		Hathi
3971	Taki, Sei-ichi,	0.9761904761904762	0.9306263953479026	1910.0	1	32173		Hathi
2680	Mallarmé, Camille.	0.9761904761904762	0.4220912528022569	1922.0	1	70935		Hathi
3865	Stepniak, S.,	0.9761522220459018	2.9723342832796584	1883.0	2	150859		Hathi
3324	Proust, Marcel,	0.9760000000000001	0.6878762974431591	1924.0	1	129544		Hathi
2024	Hood, Alexander Nelson,	0.976	1.6103485448166888	1906.0	1	83004		Hathi
2314	King, Charles,	0.9759307429838422	8.881762407615886	1898.0	5	387515		Hathi
2358	Kuehnelt-Leddihn, Erik von,	0.9759152215799614	2.7252726914169183	1936.0	1	135761		Hathi
4361	Wilson, Richard,	0.9759036144578314	0.8214978488108232	1914.0	1	72026		Hathi
387	Beyerlein, Franz Adam,	0.9758064516129032	0.2944478442023647	1905.0	1	150107		Hathi
4130	Upton, William C.	0.9757575757575758	1.7840971657862756	1914.0	1	98895		Hathi
626	Burnham, David,	0.9757575757575757	0.7526829380277626	1931.0	1	156275		Hathi
3604	Scarron,	0.9756554307116104	1.2382622890042294	1892.0	1	153715		Hathi
1581	Gilbreath, Olive.	0.975609756097561	3.6456023375381834	1918.0	1	64139		Hathi
728	Cena, G.	0.975609756097561	0.45436847732554375	1908.0	1	64327		Hathi
1186	Dressler, Friedrich August.	0.9754901960784313	1.933367764264736	1907.0	1	37610		Hathi
3014	Nazhivin, Iv. (Ivan),	0.9754601226993865	0.5230595091111264	1931.0	1	111077		Hathi
932	Craigie, William A.	0.9753363228699552	0.9641486183228327	1896.0	1	164884		Hathi
884	Coon, Carleton S. (Carleton Stevens),	0.9753086419753086	0.5531563680582513	1932.0	1	104389		Hathi
1756	Gunter, Archibald Clavering,	0.975283089779734	3.7295590960739524	1901.5	2	216243		Hathi
2705	Mardiganian, Aurora.	0.9752321981424148	1.8914772823513424	1918.0	1	60868		Hathi
3945	Suttner, Bertha von,	0.9752252252252253	2.0862637929675705	1914.0	1	75858		Hathi
1406	Flaubert, Gustave,	0.9751652165336465	2.827048816745937	1899.25	4	538218		Hathi
1221	Dutt, Romesh Chunder,	0.9751381215469613	2.7367071649366084	1909.0	1	94297		Hathi
2933	Moore, T. Sturge	0.975	0.6609326688372066	1920.0	1	21572		Hathi
563	Broun, Heywood,	0.975	1.7840447376552344	1918.0	1	63934		Hathi
1849	Harrison, Cuthbert Woodville,	0.9748743718592965	1.3105900867018454	1916.0	1	54122		Hathi
927	Cozzens, James Gould,	0.9748426812852758	2.200587874689978	1931.0	2	51508		Hathi
2540	Lombardini, S. H.	0.9747706422018348	2.284945318618269	1913.0	1	68014		Hathi
3460	Rilke, Rainer Maria,	0.9747201687557454	1.3195293022571546	1931.0	2	113126		Hathi
2765	Mathews, Cornelius,	0.9745762711864406	0.46052815744947856	1882.0	1	91330		Hathi
83	Ahearn, Daniel.	0.9743589743589743	0.6066595236105059	1930.0	1	68743		Hathi
2021	Homer, A. N.	0.9743518883361868	1.0139067865272662	1897.5	2	246797		Hathi
4355	Wilson, Charles Augustus.	0.9742489270386266	1.5637203267648907	1932.0	1	53111		Hathi
240	Bandello, Matteo,	0.9741944908408012	3.330763571379483	1892.5	2	202331		Hathi
3909	Streuvels, Stijn,	0.974025974025974	0.5377974703021658	1915.0	1	51034		Hathi
1026	Davidson, Gladys.	0.9739776951672863	1.459645082947691	1920.0	1	65689		Hathi
176	Ashton-Wolfe, Harry,	0.9738562091503269	1.2307711850710386	1929.0	1	88620		Hathi
3568	Saint-Hilaire, Emile Marco de,	0.9737991266375547	2.9912958798568887	1916.0	1	54575		Hathi
651	Caddick, Helen.	0.9737827715355805	1.981175841062987	1900.0	1	48037		Hathi
3900	Straparola, Giovanni Francesco,	0.9737670986957553	2.107539934110062	1898.3333333333333	3	299485		Hathi
95	Aksakov, S. T.	0.9737653281994926	1.2606693854071156	1917.0	2	194111		Hathi
1375	Finger, Charles Joseph,	0.9736842105263158	0.1977134826448162	1925.0	1	68507		Hathi
816	Clifford, Hugh Charles, Sir,	0.9736842105263158	0.29007800990605564	1928.0	1	93387		Hathi
3606	Schmidt, Otto Ernst,	0.9736842105263158	0.6619857266357343	1909.0	1	102304		Hathi
4127	Uchard, Mario,	0.9736842105263158	0.848748789394268	1888.0	1	95751		Hathi
1306	Evans, Allen Roy.	0.9736842105263158	0.45739742752701795	1935.0	1	88838		Hathi
3000	Mühlbach, L.	0.9736412499924076	4.8094263216744695	1893.0	2	564515		Hathi
2042	Hort, Alfred,	0.973568281938326	1.6820244542031157	1887.0	1	48104		Hathi
46	(Veniamin), Kaverin, V.	0.973529411764706	0.7190958104047817	1938.0	1	168531		Hathi
2081	Hulbert, William Davenport,	0.9734513274336283	0.6677912903646079	1903.0	1	60315		Hathi
975	Cummins, Maria S.	0.973404255319149	0.35048094792875584	1880.0	1	191197		Hathi
1222	Dutt, Shoshee Chunder,	0.9732971598431901	2.346439300868679	1885.0	2	245041		Hathi
349	Benecke, Else C. M.	0.9730817597284376	0.8607630037527982	1915.5	2	129836		Hathi
1551	Geldart, Edmund Martin,	0.9729729729729729	0.16280264377894155	1884.0	1	81008		Hathi
311	Baynes, Dorothy Julia	0.9729729729729728	1.131882411721738	1936.0	1	139820		Hathi
931	Craige, John Houston,	0.9728033472803348	1.5941726150797861	1933.0	1	106876		Hathi
3782	Somadeva Bhaṭṭa,	0.9727891156462586	1.1674611813612485	1909.0	1	44881		Hathi
381	Bertz, Eduard,	0.9727272727272728	0.7180519506525099	1884.0	1	54604		Hathi
2360	Kuprin, A. I.	0.9727129160096172	1.8435885498553692	1915.0	4	366313		Hathi
3369	Radcliffe, Ann Ward,	0.9725431836838319	3.6576764153901333	1914.25	4	849613		Hathi
1296	Erckmann, Émile.	0.9725400457665905	3.384129483983821	1900.0	1	92056		Hathi
3428	Replogle, Charles.	0.9725274725274725	1.1300409335326835	1904.0	1	57407		Hathi
2124	Hémon, Louis,	0.9724137931034483	0.9574469406655366	1922.0	1	53981		Hathi
1224	Dwight, H. G. (Harrison Griswold),	0.9723502304147467	1.579910829134707	1926.0	1	97914		Hathi
3644	Seth-Smith, Elsie K.	0.9723183391003459	2.2152999058027647	1922.0	1	46500		Hathi
36	(Nikolaĭ), Ognev, N.	0.9722222222222223	0.6573033284981366	1929.0	1	78088		Hathi
4065	Tolstoĭ, Ilʹi͡a Lʹvovich,	0.9722222222222223	1.1967242321231648	1914.0	1	85780		Hathi
4185	Vring, Georg von der,	0.9722222222222222	0.4318315860319898	1929.0	1	118860		Hathi
678	Cantacuzène-Altieri, Olga,	0.9720670391061452	0.9294081036344155	1894.0	1	68649		Hathi
2265	Keane, John F.(John Fryer),	0.9720670391061452	1.4334517390788397	1881.0	1	44510		Hathi
2347	Konovalov, S. (Serge),	0.9720279720279721	0.46974906068233857	1932.0	1	108507		Hathi
2130	Im, Pang,	0.9719626168224299	0.6850694379314183	1913.0	1	55672		Hathi
3063	Norris, Frank,	0.9719052220880083	2.9856247646979823	1908.0	3	254793		Hathi
3848	Steele, Robert,	0.9718875502008033	1.3057983211121642	1894.0	1	67969		Hathi
100	Aldor, Francis.	0.9718518518518517	4.022699667365584	1940.0	1	59810		Hathi
2517	Lintier, Paul,	0.971830985915493	1.0252654320499652	1917.0	1	74051		Hathi
2412	Lauder, Maria Elise Turner,	0.971774193548387	1.2787675596998052	1881.0	1	69127		Hathi
3689	Shreve, Carl	0.9717171717171716	1.7210637183143582	1940.0	1	102517		Hathi
4245	Watson, William,	0.971656333038087	2.698970341075989	1892.0	1	149102		Hathi
2709	Margueritte, V.	0.9716088328075709	2.241455927243361	1913.0	1	100820		Hathi
1757	Gunther, John,	0.9715697097915208	1.7712517487455774	1926.5	2	138065		Hathi
1386	Fisher, Ruth B.	0.9715536105032823	2.1893114839912458	1911.0	1	74404		Hathi
3432	Restif de La Bretonne,	0.9714448287083016	0.8500158859157295	1928.5	2	241993		Hathi
3364	Quiroga, Horacio,	0.9714285714285714	0.4221805276019187	1923.0	1	29550		Hathi
1227	Dymow, Ossip,	0.9714285714285714	0.34214268267003745	1916.0	1	109388		Hathi
3186	Pavlenko, Petr Andreevich,	0.9714285714285712	2.0491518208971216	1938.0	1	188731		Hathi
33	(Joris-Karl), Huysmans, J.-K.	0.9712230215827339	0.8446612914783067	1930.0	1	117314		Hathi
1844	Harris, Henry E.	0.9711934156378601	1.2843672730189086	1899.0	1	67438		Hathi
2142	Irvine, Leigh Hadley,	0.9711538461538461	0.6757544667700778	1901.0	1	54857		Hathi
2457	Leffler, Anne Charlotte,	0.9711340206185567	1.5203985763558907	1895.0	1	113703		Hathi
458	Boissier, Gaston,	0.9710982658959537	1.217266591191432	1887.0	1	50658		Hathi
31	(Jean-Adolphe), Decourdemanche, J.-A.	0.9710144927536232	0.4232318871292783	1928.0	1	58111		Hathi
1884	Hawtrey, Valentina.	0.970873786407767	0.41057741414355153	1906.0	1	89419		Hathi
4440	Zbyszewski, Karol.	0.970873786407767	4.0810829029904685	1940.0	1	8996		Hathi
2375	Lady, (Ethel Stefana), Drower, E. S.	0.9707112970711297	0.6559691086690588	1931.0	1	129868		Hathi
1626	Golovina, V. N.	0.9706601466992664	2.4483605457557194	1910.0	1	178631		Hathi
1237	Eaton, Walter Prichard,	0.9705882352941176	0.34057902124110295	1921.0	1	71167		Hathi
2282	Kelly, Myra,	0.9705882352941176	0.5273828239227476	1910.0	1	45959		Hathi
3375	Rafy, K U .	0.9705882352941176	0.5258724524238043	1920.0	1	46091		Hathi
1149	Doorly, Eleanor.	0.9704918032786886	2.2292179591677224	1940.0	1	48768		Hathi
5	(Aleksandr Sergeevich), Neverov, A. S.	0.9703703703703703	1.1068322811047089	1930.0	1	43475		Hathi
3026	Neufeld, Charles,	0.9703389830508474	0.8620449800139535	1900.0	1	97582		Hathi
2348	Korolenko, Vladimir Galaktionovich,	0.9701492537313433	0.28604765015764766	1916.0	1	83488		Hathi
1873	Hauff, Wilhelm,	0.96996996996997	0.7698609332468563	1914.0	1	154177		Hathi
