	author	spec_nongb_subcountry	weight	pub_date_avg	books	wordcount	ethnicity	corpus
65	Snaith, John Collins	0.6913873971370993	3.777295026134151	1908.5	4	472102		London
46	Morgan, William De	0.6902817789694556	6.425934991801163	1911.6666666666667	9	2457589		London
41	Lucas, E. V.	0.6877470355731224	2.0071125385997344	1906.0	1	106595		London
0	Adcock, Arthur St. John	0.6875	0.4175251029286072	1897.0	1	32406		London
10	Besant, Walter	0.6818181818181827	0.754183067843708	1886.0	1	74004		London
64	Smith, Stevie	0.6756756756756757	1.7940603774446497	1936.0	1	69761		London
33	Huxley, Aldous	0.6666666666666669	0.6220687784516337	1923.0	1	110112		London
25	Galsworthy, John	0.6611236353316609	7.497007667294442	1918.7142857142858	7	830042		London
2	Arlen, Michael	0.65625	1.088930020831456	1923.0	1	74552		London
55	Riddell, Charlotte	0.647887323943662	0.3121547874340423	1900.0	1	192343		London
51	Priestley, J. B.	0.6418815008405343	1.732699481978945	1933.0	2	395376		London
38	Levy, Amy	0.639344262295082	1.8566871549503534	1889.0	1	27783		London
27	Grossmith, George and Weedon	0.6341463414634143	0.6510457444203392	1894.0	1	53255		London
1	Aldington, Richard	0.6195652173913045	0.5627845145518695	1934.0	1	138240		London
49	Oliphant, Margaret	0.5999999999999999	0.16939662774063577	1894.0	1	49921		London
70	Walpole, Hugh	0.5999999999999991	0.332973669994794	1913.0	1	203174		London
32	Hume, Fergus W. 	0.5986242003940496	3.9993285163156362	1897.0	3	332814		London
14	Buchan, John	0.5920398009950194	3.0010969053039176	1916.0	1	113275		London
54	Richardson, Dorothy	0.5863611238566556	5.280715626313094	1923.0	6	449965		London
50	Powell , Anthony	0.5862068965517242	0.7054034101329418	1931.0	1	69531		London
9	Besant , Walter	0.5760869565217396	1.1099602135999895	1882.0	1	70092		London
61	Silberrad, Una	0.5454545454545449	0.7651349979558175	1907.0	1	133732		London
76	Whiteing, Richard	0.5283788383160221	8.79554398165174	1901.8333333333333	6	555852		London
28	Hamilton, Patrick	0.48760330578512306	0.4220777122458612	1935.0	1	242427		London
36	Keeling, Annie E	0.4851485148514851	1.6293736133796302	1886.0	1	52419		London
79	Zangwill, Israel	0.4715098230166486	7.850651545937158	1899.3333333333333	3	352912		London
12	Blumenfeld, Simon	0.4540229885057469	1.351515665459077	1935.0	1	108872		London
42	Lyons, Neil	0.44146610606770686	3.49266522896009	1914.2	5	383343		London
75	West, Rebecca	0.3999999999999997	0.42086775576192	1929.0	1	90418		London
4	Bell, Adrian	0.3636363636363636	0.13253111584294047	1934.0	1	70188		London
77	Woolf, Virginia	0.33773343357846675	1.0237077884551389	1922.0	2	278316		London
24	Forster, E.M.	0.3374999999999999	1.413796836586951	1910.0	1	47851		London
