	author	spec_nongb_subcountry	weight	pub_date_avg	books	wordcount	ethnicity	corpus
4250	Waugh, Evelyn,	0.6818181818181825	1.0804408692847514	1938.0	1	81167		Hathi
773	Cholmondeley, Mary.	0.6818181818181822	0.15581893654183213	1921.0	1	140702		Hathi
2364	Kʻiačʻeli, Leo,	0.681818181818182	0.21571769021192805	1940.0	1	101633		Hathi
165	Art͡sybashev, M.	0.6818181818181819	0.14052788253024692	1917.0	1	78006		Hathi
2634	Macilwaine, H. C.	0.6818181818181819	0.1353084984836689	1906.0	1	162030		Hathi
112	Alington, Cyril Argentine,	0.6818181818181819	0.4739512302587418	1921.0	1	23129		Hathi
3586	Sandes, John,	0.6818181818181819	1.093559032802838	1912.0	1	60145		Hathi
2851	Metelerkamp, Sanni.	0.6818181818181819	0.3350454796947993	1914.0	1	32718		Hathi
119	Allonby, Edith.	0.6818181818181818	0.0997308672500313	1903.0	1	109916		Hathi
2579	Lyle, Marius,	0.6818181818181818	0.12336418375915151	1926.0	1	88859		Hathi
2057	Howard, Frederick James,	0.6816479400749069	1.1281760853842422	1930.0	1	117924		Hathi
613	Bunyan, John,	0.6815313797998511	1.3160833353658627	1914.25	4	533936		Hathi
2491	Lewis, Helen Prothero.	0.681512905263291	0.3286230805205302	1908.5	2	146719		Hathi
3033	Nevinson, Henry Woodd,	0.6813749750666768	2.320441606982252	1905.3333333333333	3	167969		Hathi
1925	Henty, G. A.	0.6813380686192759	124.49973090099962	1892.888888888889	72	9155799		Hathi
1891	Hayes, Margaret E.	0.6813186813186819	0.7003628657689921	1884.0	1	64742		Hathi
2795	Maynell, Esther Hallam Moorhouse.	0.6812499999999999	3.0694862860115406	1912.0	1	25973		Hathi
323	Beckford, William,	0.6811496799673269	4.134046651948744	1898.25	4	307826		Hathi
2537	Loliée, Frédéric,	0.6811279826464114	3.037630565556239	1907.0	1	151239		Hathi
4440	Zglinitzki, Helen de,	0.6811145510835903	3.4302170815693835	1937.0	1	46919		Hathi
1553	George, Walter Lionel,	0.6810360020881348	4.847675212536408	1921.857142857143	7	858334		Hathi
2857	Meynell, Mrs. Esther Hallam (Moorhouse)	0.6808769792935444	3.282771584415016	1911.0	1	124615		Hathi
2991	Musset, Paul de,	0.6808510638297873	1.6308017441313272	1910.0	1	43081		Hathi
2723	Marryat, Mrs. Frederick Townshend.	0.6808510638297873	0.38911450770635897	1900.0	1	60185		Hathi
2462	Lehmann, John,	0.6808510638297872	1.5450342501274752	1938.0	1	60630		Hathi
203	Azorín,	0.680722891566265	1.8473948268057643	1931.0	1	44773		Hathi
1658	Graham, Winifred	0.6806722689075629	0.7167843518038183	1908.0	1	82723		Hathi
1236	Eastwick, Robert William,	0.6806596701649178	3.0955585719409555	1891.0	1	107363		Hathi
1081	Dehan, Richard,	0.6805920503152469	2.7503807326173155	1907.0	3	304131		Hathi
2521	Littlefair, Mary.	0.6804733727810652	2.881376534390854	1915.0	1	29225		Hathi
369	Beresford Hope, A. J. B.	0.6803807048629379	1.2668494977756122	1881.0	2	152701		Hathi
487	Bourget, P.C.J.	0.6800894854586128	2.5218042697971366	1898.0	1	88321		Hathi
2460	Legge, Arthur Edward John,	0.6799999999999999	0.1041881436392534	1912.0	1	119561		Hathi
1402	Fitzpatrick, Percy,	0.6799112771678373	1.0793023038097862	1902.0	2	213216		Hathi
3119	Orcutt, William Dana,	0.6798418972332014	3.345049475369854	1904.0	1	75373		Hathi
