	author	occurs_100k	weight	pub_date_avg	books	wordcount	ethnicity	corpus
4435	Yoxall, J. H.	344.6953042668294	2.0	1905.0	2	232428		Hathi
4393	Worthey,	344.5217628598723	1.0	1890.0	1	87948		Hathi
1891	Hayes, Margaret E.	344.44410120169323	1.0	1884.0	1	64742		Hathi
2324	Kingsley, Henry,	344.42760755631474	12.0	1896.1666666666667	12	2568593		Hathi
2442	Le Sage, Alain René,	344.3753655715405	4.0	1887.5	4	590511		Hathi
1677	Gray, Edward Dundas McQueen,	344.03712057171987	1.0	1891.0	1	270901		Hathi
1850	Harrison, F. Bayford.	343.5600953102201	1.0	1893.0	1	54139		Hathi
2992	Musset, Paul de,	343.53891506696715	1.0	1910.0	1	43081		Hathi
343	Bellew, Francis J.	343.51474721433993	1.0	1880.0	1	150503		Hathi
23	(Gladys Bronwyn), Stern, G. B.	343.1989538662329	2.0	1926.5	2	215833		Hathi
2164	Jacobus, de Voragine,	343.1320149652583	1.0	1931.0	1	93550		Hathi
353	Bennett, Arnold,	342.8886313852817	25.0	1917.24	25	2380086		Hathi
1577	Gilbert, Bernard,	342.71530719132693	1.0	1924.0	1	175656		Hathi
344	Bellew, Francis John.	342.7119942478129	1.0	1891.0	1	148813		Hathi
869	Concannon, Thomas,	342.36179040037746	1.0	1914.0	1	59294		Hathi
4168	Vince, Charles,	342.30813485214657	1.0	1921.0	1	34764		Hathi
3730	Sitwell, Osbert,	342.1297255254114	2.0	1934.0	2	298268		Hathi
2071	Hudson, W. H.	342.10646316770766	7.0	1907.142857142857	7	597491		Hathi
875	Constantine, Murray,	342.07397770350656	1.0	1940.0	1	89162		Hathi
3926	Suffling, Ernest R.	342.0248837729091	3.0	1898.3333333333333	3	274543		Hathi
1212	Dunsany, Edward John Moreton Drax Plunkett,	341.8997516650291	2.0	1919.0	2	131683		Hathi
1949	Hichen, Robert Smythe,	341.881679210152	1.0	1919.0	1	127822		Hathi
1913	Helps, Arthur,	341.781064815052	1.0	1885.0	1	194569		Hathi
1409	Fleming, Noël,	341.58580454036996	1.0	1914.0	1	33081		Hathi
1664	Grant Watson, Elliot L. (Elliot Lovegood),	341.5788888359306	1.0	1924.0	1	62943		Hathi
458	Boissier, Gaston,	341.50578388408485	1.0	1887.0	1	50658		Hathi
3280	Poole, R. Heber.	341.22326484886497	1.0	1928.0	1	97297		Hathi
417	Black, Jack.	341.1446338093049	1.0	1927.0	1	138944		Hathi
1761	Gwynn, Stephen Lucius,	340.9479326370139	4.0	1904.0	4	314338		Hathi
2945	Morgan, J. H.	340.2934690877408	1.0	1916.0	1	73466		Hathi
460	Boldrewood, Rolf,	339.5144794008508	15.0	1895.9333333333334	15	2264463		Hathi
676	Cannan, Gilbert,	339.3171966413973	7.0	1918.142857142857	7	844460		Hathi
3304	Prévost, abbé,	339.158698007442	1.0	1925.0	1	84916		Hathi
2359	Kuppord, Skelton,	338.69936273045613	2.0	1901.0	2	137622		Hathi
918	Cowie, Bessie,	338.5966106309116	1.0	1900.0	1	58772		Hathi
4150	Velde, M. S. van de,	338.54166666666754	1.0	1891.0	1	46080		Hathi
3548	Rutherford, Mark,	338.53812632918556	3.0	1909.6666666666667	3	219269		Hathi
2629	Macduff, John R.	338.49335051765354	1.0	1887.0	1	70607		Hathi
